State,Year,CF,CAPEX_$/kW,SEC_kWh_kg,Electricity_$/kWh,Water_$kg,CO2_$kg,Transport_km,C_capex_usd_kg,C_opex_usd_kg,C_repl_usd_kg,C_elec_usd_kg,LCOH_plantgate_$kg,LCOH_Low_$kg,LCOH_Med_$kg,LCOH_High_$kg
New Hampshire,2050,0.631,178.11,44.25,0.1251,0.0003,0.001,9.5,0.1453,0.0713,0.0,5.5359,5.7538,6.2586,6.2586,6.2586
New Hampshire,2060,0.631,164.14,43.33,0.1124,0.0003,0.001,9.5,0.1311,0.0644,0.0,4.8714,5.0682,5.5729,5.5729,5.5729
New Jersey,2022,0.685,1378.14,55.0,0.1301,0.0004,0.007,9.7,1.2872,0.6319,0.0,7.1555,9.082,9.5869,9.5869,9.5869
New Jersey,2030,0.685,234.28,47.0,0.1219,0.0004,0.007,9.7,0.187,0.0918,0.0,5.7285,6.0148,6.5196,6.5196,6.5196
New Jersey,2040,0.685,192.08,45.17,0.1116,0.0004,0.007,9.7,0.1473,0.0723,0.0,5.0417,5.2689,5.7737,5.7737,5.7737
New Jersey,2050,0.685,177.02,44.25,0.1013,0.0004,0.007,9.7,0.133,0.0653,0.0,4.4845,4.6903,5.1952,5.1952,5.1952
New Jersey,2060,0.685,163.14,43.33,0.0911,0.0004,0.007,9.7,0.12,0.0589,0.0,3.9462,4.1327,4.6375,4.6375,4.6375
New Mexico,2022,0.828,1336.26,55.0,0.0642,0.0013,0.0034,8.8,1.0325,0.5069,0.0,3.531,5.0751,5.5795,5.5795,5.5795
New Mexico,2030,0.828,227.16,47.0,0.0601,0.0013,0.0034,8.8,0.15,0.0736,0.0,2.8268,3.0552,3.5596,3.5596,3.5596
New Mexico,2040,0.828,186.24,45.17,0.0551,0.0013,0.0034,8.8,0.1182,0.058,0.0,2.4879,2.6689,3.1733,3.1733,3.1733
New Mexico,2050,0.828,171.64,44.25,0.05,0.0013,0.0034,8.8,0.1067,0.0524,0.0,2.213,2.3768,2.8812,2.8812,2.8812
New Mexico,2060,0.828,158.18,43.33,0.0449,0.0013,0.0034,8.8,0.0963,0.0473,0.0,1.9473,2.0957,2.6,2.6,2.6
New York,2022,0.659,1235.9,55.0,0.0892,0.0001,0.0122,9.4,1.1998,0.589,0.0,4.906,6.707,7.2117,7.2117,7.2117
New York,2030,0.659,210.1,47.0,0.0836,0.0001,0.0122,9.4,0.1743,0.0856,0.0,3.9276,4.1997,4.7044,4.7044,4.7044
New York,2040,0.659,172.25,45.17,0.0765,0.0001,0.0122,9.4,0.1373,0.0674,0.0,3.4568,3.6738,4.1784,4.1784,4.1784
New York,2050,0.659,158.75,44.25,0.0695,0.0001,0.0122,9.4,0.124,0.0609,0.0,3.0747,3.2718,3.7765,3.7765,3.7765
New York,2060,0.659,146.3,43.33,0.0624,0.0001,0.0122,9.4,0.1119,0.0549,0.0,2.7057,2.8847,3.3894,3.3894,3.3894
North Carolina,2022,0.702,1378.66,55.0,0.076,0.0001,0.0087,9.9,1.255,0.6161,0.0,4.18,6.0599,6.5648,6.5648,6.5648
North Carolina,2030,0.702,234.37,47.0,0.0712,0.0001,0.0087,9.9,0.1823,0.0895,0.0,3.3464,3.627,4.132,4.132,4.132
North Carolina,2040,0.702,192.15,45.17,0.0652,0.0001,0.0087,9.9,0.1437,0.0705,0.0,2.9452,3.1682,3.6732,3.6732,3.6732
North Carolina,2050,0.702,177.08,44.25,0.0592,0.0001,0.0087,9.9,0.1297,0.0637,0.0,2.6197,2.8219,3.3268,3.3268,3.3268
North Carolina,2060,0.702,163.2,43.33,0.0532,0.0001,0.0087,9.9,0.117,0.0575,0.0,2.3053,2.4886,2.9935,2.9935,2.9935
North Dakota,2022,0.738,1387.4,55.0,0.0758,0.0008,0.0042,7.9,1.2014,0.5898,0.0,4.169,5.9652,6.4692,6.4692,6.4692
North Dakota,2030,0.738,235.86,47.0,0.071,0.0008,0.0042,7.9,0.1745,0.0857,0.0,3.3376,3.6028,4.1068,4.1068,4.1068
North Dakota,2040,0.738,193.37,45.17,0.065,0.0008,0.0042,7.9,0.1375,0.0675,0.0,2.9375,3.1475,3.6514,3.6514,3.6514
North Dakota,2050,0.738,178.21,44.25,0.059,0.0008,0.0042,7.9,0.1242,0.061,0.0,2.6128,2.803,3.3069,3.3069,3.3069
North Dakota,2060,0.738,164.24,43.33,0.0531,0.0008,0.0042,7.9,0.112,0.055,0.0,2.2992,2.4713,2.9752,2.9752,2.9752
Ohio,2022,0.691,1232.57,55.0,0.079,0.0001,0.0146,9.3,1.1408,0.56,0.0,4.345,6.0605,6.5651,6.5651,6.5651
Ohio,2030,0.691,209.54,47.0,0.074,0.0001,0.0146,9.3,0.1657,0.0814,0.0,3.4785,3.7402,4.2449,4.2449,4.2449
Ohio,2040,0.691,171.79,45.17,0.0678,0.0001,0.0146,9.3,0.1306,0.0641,0.0,3.0615,3.2708,3.7755,3.7755,3.7755
Ohio,2050,0.691,158.32,44.25,0.0615,0.0001,0.0146,9.3,0.1179,0.0579,0.0,2.7231,2.9136,3.4182,3.4182,3.4182
Ohio,2060,0.691,145.91,43.33,0.0553,0.0001,0.0146,9.3,0.1064,0.0522,0.0,2.3963,2.5696,3.0742,3.0742,3.0742
Oklahoma,2022,0.798,1359.58,55.0,0.0551,0.0001,0.0067,9.1,1.0902,0.5352,0.0,3.0305,4.6627,5.1672,5.1672,5.1672
Oklahoma,2030,0.798,231.13,47.0,0.0516,0.0001,0.0067,9.1,0.1584,0.0777,0.0,2.4261,2.6691,3.1736,3.1736,3.1736
Oklahoma,2040,0.798,189.49,45.17,0.0473,0.0001,0.0067,9.1,0.1248,0.0613,0.0,2.1353,2.3282,2.8327,2.8327,2.8327
Oklahoma,2050,0.798,174.63,44.25,0.0429,0.0001,0.0067,9.1,0.1127,0.0553,0.0,1.8993,2.0741,2.5786,2.5786,2.5786
